gene_id,trimmed.AST-1065_R1_001.fastq.gz.bam.gtf,trimmed.AST-1105_R1_001.fastq.gz.bam.gtf,trimmed.AST-1147_R1_001.fastq.gz.bam.gtf,trimmed.AST-1412_R1_001.fastq.gz.bam.gtf,trimmed.AST-1560_R1_001.fastq.gz.bam.gtf,trimmed.AST-1567_R1_001.fastq.gz.bam.gtf,trimmed.AST-1617_R1_001.fastq.gz.bam.gtf,trimmed.AST-1722_R1_001.fastq.gz.bam.gtf,trimmed.AST-2000_R1_001.fastq.gz.bam.gtf,trimmed.AST-2007_R1_001.fastq.gz.bam.gtf,trimmed.AST-2302_R1_001.fastq.gz.bam.gtf,trimmed.AST-2360_R1_001.fastq.gz.bam.gtf,trimmed.AST-2398_R1_001.fastq.gz.bam.gtf,trimmed.AST-2404_R1_001.fastq.gz.bam.gtf,trimmed.AST-2412_R1_001.fastq.gz.bam.gtf,trimmed.AST-2512_R1_001.fastq.gz.bam.gtf,trimmed.AST-2523_R1_001.fastq.gz.bam.gtf,trimmed.AST-2563_R1_001.fastq.gz.bam.gtf,trimmed.AST-2729_R1_001.fastq.gz.bam.gtf,trimmed.AST-2755_R1_001.fastq.gz.bam.gtf
evm.TU.chromosome_14.4334,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,12,0,0,0
evm.TU.chromosome_14.4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4337,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
evm.TU.chromosome_6.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_6.703,477,0,1256,171,39,232,350,661,19,376,526,236,536,356,694,69,383,309,63,26
evm.TU.chromosome_12.2253,136,0,167,78,11,41,78,139,12,311,108,87,157,404,175,105,119,255,5,11
evm.TU.chromosome_12.2252,0,0,4,0,0,2,1,0,17,0,6,5,5,11,1,9,0,0,0,0
evm.TU.chromosome_12.2251,23,0,32,11,0,7,14,26,6,14,21,32,36,7,44,8,7,44,2,16
evm.TU.chromosome_12.2250,0,0,2,0,0,0,0,3,0,4,2,3,0,2,3,0,5,4,0,0
evm.TU.chromosome_12.2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_12.2256,422,0,456,84,32,107,223,229,29,313,441,172,372,373,334,84,281,259,8,14
evm.TU.chromosome_12.2255,211,0,327,0,5,51,131,115,19,112,234,124,224,371,40,31,101,135,0,0
evm.TU.chromosome_12.2254,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
evm.TU.chromosome_12.2259,184,0,323,266,0,280,180,598,433,246,204,336,363,202,154,30,248,162,54,16
evm.TU.chromosome_12.2258,0,0,0,4,0,0,19,0,69,0,0,4,0,5,43,0,0,12,0,0
evm.TU.chromosome_6.708,141,0,309,137,21,135,252,257,167,171,286,143,260,120,76,20,156,210,0,14
evm.TU.chromosome_6.709,417,0,655,50,0,257,462,299,61,421,396,216,431,385,333,48,370,242,0,43
evm.TU.chromosome_3.1859,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_3.1858,664,0,1127,225,24,156,619,812,86,504,606,350,724,619,498,80,441,381,50,57
evm.TU.chromosome_3.1857,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_3.1856,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_3.1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_3.1854,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_3.1853,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_3.1852,77,0,40,33,0,26,37,74,20,46,28,19,19,30,69,19,16,38,16,0
evm.TU.chromosome_3.1851,590,0,1085,190,19,174,514,647,74,547,445,273,798,484,359,83,554,339,14,48
evm.TU.chromosome_3.1850,0,0,21,0,3,0,0,14,0,0,0,0,0,0,10,0,4,0,0,0
evm.TU.chromosome_12.3122,71,0,15,11,0,0,8,12,4,29,41,9,4,23,6,0,16,11,17,4
evm.TU.chromosome_12.3123,71,0,15,38,3,0,2,15,28,33,42,10,15,13,41,8,33,75,10,0
evm.TU.chromosome_12.3120,16,0,0,2,0,0,6,2,0,16,11,4,5,2,3,3,7,6,0,0
