#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2021	1	1	16	54	5	3.9	5.3	99	99	99	999	9999	2.1	6.2	999	99	99
2021	1	1	17	0	355	3.7	5.1	99	99	99	999	9999	2	6.2	999	99	99
2021	1	1	17	6	352	2.5	4.6	99	99	99	999	1031.6	2.3	999	999	99	99
2021	1	1	17	12	11	3.8	4.3	99	99	99	999	1031.6	2.1	999	999	99	99
2021	1	1	17	18	8	2.7	4.9	99	99	99	999	1031.5	2.3	999	999	99	99
2021	1	1	17	24	351	2.9	4.6	99	99	99	999	1031.3	2.2	6.2	999	99	99
2021	1	1	17	30	21	2.6	3.7	99	99	99	999	1031.2	2.3	6.2	999	99	99
2021	1	1	17	36	9	2.4	2.9	99	99	99	999	1031.2	2.4	6.2	999	99	99
2021	1	1	17	42	327	2	3.6	99	99	99	999	1031.2	2.3	6.2	999	99	99
2021	1	1	17	48	329	2.4	3.4	99	99	99	999	1031.2	2.4	6.2	999	99	99
2021	1	1	17	54	320	1.8	3.2	99	99	99	999	1031.3	2.5	6.2	999	99	99
2021	1	1	18	0	313	2	2.9	99	99	99	999	1031.3	2.4	6.2	999	99	99
2021	1	1	18	6	999	99	99	99	99	99	999	1031.3	2.4	6.2	999	99	99
2021	1	1	18	12	999	99	99	99	99	99	999	1031.1	2.3	6.3	999	99	99
2021	1	1	18	18	999	99	99	99	99	99	999	1031.1	2.3	6.3	999	99	99
2021	1	1	18	24	316	1.8	2.5	99	99	99	999	1031.1	2.4	6.3	999	99	99
2021	1	1	18	30	322	1.2	2.5	99	99	99	999	1031.3	2.7	6.3	999	99	99
2021	1	1	18	36	330	1.3	2.3	99	99	99	999	1031.4	2.6	6.3	999	99	99
2021	1	1	18	42	292	1	1.5	99	99	99	999	1031.2	2.8	6.4	999	99	99
2021	1	1	18	48	333	1	1.7	99	99	99	999	1031	2.8	6.4	999	99	99
2021	1	1	18	54	352	0.7	1.5	99	99	99	999	1030.7	2.8	6.4	999	99	99
2021	1	1	19	0	344	0.5	1	99	99	99	999	1030.5	2.9	6.4	999	99	99
2021	1	1	19	6	349	0.5	1.2	99	99	99	999	1030.6	3	6.4	999	99	99
2021	1	1	19	12	315	0.3	1.1	99	99	99	999	1030.5	3	6.4	999	99	99
2021	1	1	19	18	289	0.9	1.5	99	99	99	999	1030.6	2.8	6.4	999	99	99
2021	1	1	19	24	275	0.7	1.3	99	99	99	999	1030.6	2.7	6.4	999	99	99
2021	1	1	19	30	327	0.6	1.1	99	99	99	999	1030.5	2.9	6.4	999	99	99
2021	1	1	19	36	310	1.1	1.3	99	99	99	999	1030.5	2.8	6.4	999	99	99
2021	1	1	19	42	318	1.5	1.9	99	99	99	999	1030.6	2.8	6.5	999	99	99
2021	1	1	19	48	318	1	1.9	99	99	99	999	1030.4	2.8	6.5	999	99	99
2021	1	1	19	54	314	1.1	1.8	99	99	99	999	1030.5	2.8	6.5	999	99	99
2021	1	1	20	0	305	1	1.4	99	99	99	999	1030.4	2.8	6.6	999	99	99
