Tank,Timepoint,Date,Calib.Date,Temperature,pH.MV,Salinity,Light,Flow_mL_sec,Treatment,Notes 
Tank16,1/29/21,20210129,20210126,6.95,-50.1,31.76,NA,NA,Acclimation,
Tank17,1/29/21,20210129,20210126,7.48,-49.8,31.87,NA,NA,Acclimation,
Tank18,1/29/21,20210129,20210126,6.73,-50.7,31.68,NA,NA,Acclimation,
Tank1,1/30/21,20210130,20210126,5.4,-50.8,30.72,106.8,NA,Acclimation,
Tank2,1/30/21,20210130,20210126,5.45,-53.8,31.36,110.2,NA,Acclimation,
Tank3,1/30/21,20210130,20210126,8.51,-53.9,31.66,109,NA,Acclimation,
Tank4,1/30/21,20210130,20210126,8.32,-51.9,31.5,105.8,NA,Acclimation,
Tank5,1/30/21,20210130,20210126,6.98,-55.7,31.4,107.6,NA,Acclimation,
Tank6,1/30/21,20210130,20210126,8.6,-52.6,31.6,106.2,NA,Acclimation,
Tank7,1/30/21,20210130,20210126,8.36,-52.7,31.03,99.8,NA,Acclimation,
Tank8,1/30/21,20210130,20210126,5.88,-54.6,31.27,117.2,NA,Acclimation,
Tank9,1/30/21,20210130,20210126,8.02,-54.2,31.39,93.6,NA,Acclimation,
Tank10,1/30/21,20210130,20210126,6.59,-53.9,31.31,114.6,NA,Acclimation,
Tank11,1/30/21,20210130,20210126,8.4,-54.2,31.62,96.4,NA,Acclimation,
Tank12,1/30/21,20210130,20210126,5.78,-54.3,31.21,100.8,NA,Acclimation,
Tank15,1/30/21,20210130,20210126,7.56,-55.3,31.71,95,NA,Acclimation,
Tank16,1/30/21,20210130,20210126,5.93,-53.8,31.29,99.2,NA,Acclimation,
Tank17,1/30/21,20210130,20210126,7.7,-53.3,31.5,110.2,NA,Acclimation,
Tank18,1/30/21,20210130,20210126,5.72,-54.5,31.27,93.2,NA,Acclimation,
Tank1,1/31/21,20210131,20210126,7.76,-52.4,31.08,NA,NA,Acclimation,
Tank2,1/31/21,20210131,20210126,8.13,-52.8,31.67,NA,NA,Acclimation,
Tank3,1/31/21,20210131,20210126,8.44,-54.1,31.73,NA,NA,Acclimation,
Tank4,1/31/21,20210131,20210126,8.39,-51.7,31.76,NA,NA,Acclimation,
Tank5,1/31/21,20210131,20210126,8.69,-54.8,31.76,NA,NA,Acclimation,
Tank6,1/31/21,20210131,20210126,8.58,-52.8,31.74,NA,NA,Acclimation,
Tank7,1/31/21,20210131,20210126,7.98,-52.3,31.73,NA,NA,Acclimation,
Tank8,1/31/21,20210131,20210126,7.84,-53.1,31.73,NA,NA,Acclimation,
Tank9,1/31/21,20210131,20210126,8.16,-52.5,31.7,NA,NA,Acclimation,
Tank10,1/31/21,20210131,20210126,7.92,-52.8,31.74,NA,NA,Acclimation,
Tank11,1/31/21,20210131,20210126,8.37,-54.5,31.76,NA,NA,Acclimation,
Tank12,1/31/21,20210131,20210126,8.02,-53.3,31.75,NA,NA,Acclimation,
Tank15,1/31/21,20210131,20210126,7.65,-55.1,31.68,NA,NA,Acclimation,
Tank16,1/31/21,20210131,20210126,7.97,-52.9,31.72,NA,NA,Acclimation,
Tank17,1/31/21,20210131,20210126,7.76,-52.9,31.69,NA,NA,Acclimation,
Tank18,1/31/21,20210131,20210126,7.59,-53.4,31.66,NA,NA,Acclimation,
Tank1,2/3/21,20210203,20210203,8.23,-52.4,31.06,82,NA,Acclimation,
Tank2,2/3/21,20210203,20210203,8.45,-51.9,31.08,95.6,NA,Acclimation,
Tank3,2/3/21,20210203,20210203,8.4,-53,31.12,100,NA,Acclimation,
Tank4,2/3/21,20210203,20210203,8.55,-51.7,31.09,92.6,NA,Acclimation,
Tank5,2/3/21,20210203,20210203,8.52,-53.4,30.93,76,NA,Acclimation,
Tank6,2/3/21,20210203,20210203,8.59,-52.3,31.02,89,NA,Acclimation,
Tank7,2/3/21,20210203,20210203,8.19,-51.2,31.09,102.8,NA,Acclimation,
Tank8,2/3/21,20210203,20210203,7.89,-52.3,31.12,68,NA,Acclimation,
Tank9,2/3/21,20210203,20210203,8.45,-51,31.05,75,NA,Acclimation,
Tank10,2/3/21,20210203,20210203,7.92,-51.9,31.07,102.2,NA,Acclimation,
Tank11,2/3/21,20210203,20210203,8.45,-53,31.08,96.2,NA,Acclimation,
Tank12,2/3/21,20210203,20210203,8.19,-52.8,31.9,62,NA,Acclimation,
Tank15,2/3/21,20210203,20210203,7.83,-53.6,31.07,78.4,NA,Acclimation,
Tank16,2/3/21,20210203,20210203,8.02,-52,31.06,100.6,NA,Acclimation,
Tank17,2/3/21,20210203,20210203,7.92,-51.7,31.06,117.2,NA,Acclimation,
Tank18,2/3/21,20210203,20210203,7.84,-51.8,31.05,91.8,NA,Acclimation,
Tank1,2/4/21,20210204,20210203,8.07,-53.8,30.94,NA,NA,Acclimation,
