"","pair_id","miRNA","mRNA","timepoint","Ambient","Heat","cluster"
"127","Cluster_137_evm.TU.chromosome_7.2590","Cluster_137","evm.TU.chromosome_7.2590","TP5",-0.4,-0.2,"3"
"128","Cluster_137_evm.TU.chromosome_7.2604","Cluster_137","evm.TU.chromosome_7.2604","TP5",0.4,0.2,"3"
"129","Cluster_137_evm.TU.chromosome_7.33","Cluster_137","evm.TU.chromosome_7.33","TP5",0,-0.2,"3"
"130","Cluster_137_evm.TU.chromosome_7.451","Cluster_137","evm.TU.chromosome_7.451","TP5",-0.4,-0.8,"3"
"131","Cluster_137_evm.TU.chromosome_7.466","Cluster_137","evm.TU.chromosome_7.466","TP5",0.8,-0.4,"2"
"132","Cluster_137_evm.TU.chromosome_8.168","Cluster_137","evm.TU.chromosome_8.168","TP5",0.6,-1,"2"
"133","Cluster_137_evm.TU.chromosome_8.2491","Cluster_137","evm.TU.chromosome_8.2491","TP5",-1,-0.4,"1"
"134","Cluster_137_evm.TU.chromosome_8.2587","Cluster_137","evm.TU.chromosome_8.2587","TP5",-0.8,0.8,"1"
"135","Cluster_137_evm.TU.chromosome_8.297","Cluster_137","evm.TU.chromosome_8.297","TP5",0.737864787372622,1,"3"
"136","Cluster_137_evm.TU.chromosome_8.810","Cluster_137","evm.TU.chromosome_8.810","TP5",0.6,0.4,"2"
"137","Cluster_137_evm.TU.chromosome_8.818","Cluster_137","evm.TU.chromosome_8.818","TP5",-0.737864787372622,0.2,"1"
"138","Cluster_137_evm.TU.chromosome_9.1561","Cluster_137","evm.TU.chromosome_9.1561","TP5",0.4,0.4,"3"
"139","Cluster_137_evm.TU.chromosome_9.2109","Cluster_137","evm.TU.chromosome_9.2109","TP5",-0.8,0.4,"1"
"140","Cluster_137_evm.TU.chromosome_9.2239","Cluster_137","evm.TU.chromosome_9.2239","TP5",-1,-0.2,"1"
"141","Cluster_137_evm.TU.chromosome_9.422","Cluster_137","evm.TU.chromosome_9.422","TP5",-0.316227766016838,-0.2,"3"
"142","Cluster_137_evm.TU.chromosome_9.470","Cluster_137","evm.TU.chromosome_9.470","TP5",-0.737864787372622,0.737864787372622,"1"
"143","Cluster_137_evm.TU.chromosome_9.478","Cluster_137","evm.TU.chromosome_9.478","TP5",0.316227766016838,0.8,"3"
"144","Cluster_1411_evm.TU.chromosome_1.1075","Cluster_1411","evm.TU.chromosome_1.1075","TP5",-0.2,0.2,"3"
"145","Cluster_1411_evm.TU.chromosome_1.1229","Cluster_1411","evm.TU.chromosome_1.1229","TP5",0.2,0,"3"
"146","Cluster_1411_evm.TU.chromosome_1.1366","Cluster_1411","evm.TU.chromosome_1.1366","TP5",0.8,0.8,"2"
"147","Cluster_1411_evm.TU.chromosome_1.871","Cluster_1411","evm.TU.chromosome_1.871","TP5",0.8,-0.4,"2"
"148","Cluster_1411_evm.TU.chromosome_10.1471","Cluster_1411","evm.TU.chromosome_10.1471","TP5",0.8,-0.2,"2"
"149","Cluster_1411_evm.TU.chromosome_10.2094","Cluster_1411","evm.TU.chromosome_10.2094","TP5",-0.6,-0.4,"1"
"150","Cluster_1411_evm.TU.chromosome_10.2301","Cluster_1411","evm.TU.chromosome_10.2301","TP5",0.4,-1,"2"
"151","Cluster_1411_evm.TU.chromosome_10.2395","Cluster_1411","evm.TU.chromosome_10.2395","TP5",0.8,0.4,"2"
"152","Cluster_1411_evm.TU.chromosome_10.2704","Cluster_1411","evm.TU.chromosome_10.2704","TP5",-0.4,-0.2,"3"
"153","Cluster_1411_evm.TU.chromosome_10.3000","Cluster_1411","evm.TU.chromosome_10.3000","TP5",-0.4,0.8,"1"
"154","Cluster_1411_evm.TU.chromosome_10.400","Cluster_1411","evm.TU.chromosome_10.400","TP5",-0.8,-0.8,"1"
"155","Cluster_1411_evm.TU.chromosome_11.1073","Cluster_1411","evm.TU.chromosome_11.1073","TP5",0.4,-0.4,"2"
"156","Cluster_1411_evm.TU.chromosome_11.1151","Cluster_1411","evm.TU.chromosome_11.1151","TP5",0.4,-0.4,"2"
"157","Cluster_1411_evm.TU.chromosome_11.587","Cluster_1411","evm.TU.chromosome_11.587","TP5",0.8,-0.8,"2"
"158","Cluster_1411_evm.TU.chromosome_11.65","Cluster_1411","evm.TU.chromosome_11.65","TP5",0.8,0.4,"2"
"159","Cluster_1411_evm.TU.chromosome_11.959","Cluster_1411","evm.TU.chromosome_11.959","TP5",0.6,-0.4,"2"
"160","Cluster_1411_evm.TU.chromosome_12.1048","Cluster_1411","evm.TU.chromosome_12.1048","TP5",0.774596669241483,-0.8,"2"
"161","Cluster_1411_evm.TU.chromosome_12.113","Cluster_1411","evm.TU.chromosome_12.113","TP5",-0.4,0.4,"1"
"162","Cluster_1411_evm.TU.chromosome_12.1925","Cluster_1411","evm.TU.chromosome_12.1925","TP5",0.6,-0.4,"2"
"163","Cluster_1411_evm.TU.chromosome_12.2115","Cluster_1411","evm.TU.chromosome_12.2115","TP5",-0.2,-0.4,"3"
"164","Cluster_1411_evm.TU.chromosome_12.215","Cluster_1411","evm.TU.chromosome_12.215","TP5",-0.8,-0.4,"1"
"165","Cluster_1411_evm.TU.chromosome_12.2471","Cluster_1411","evm.TU.chromosome_12.2471","TP5",-0.6,0,"1"
"166","Cluster_1411_evm.TU.chromosome_12.2488","Cluster_1411","evm.TU.chromosome_12.2488","TP5",-0.2,1,"1"
"167","Cluster_1411_evm.TU.chromosome_12.3298","Cluster_1411","evm.TU.chromosome_12.3298","TP5",0,-0.2,"3"
"168","Cluster_1411_evm.TU.chromosome_12.920","Cluster_1411","evm.TU.chromosome_12.920","TP5",0.316227766016838,-1,"2"
"169","Cluster_1411_evm.TU.chromosome_13.108","Cluster_1411","evm.TU.chromosome_13.108","TP5",0.2,1,"3"
"170","Cluster_1411_evm.TU.chromosome_13.1257","Cluster_1411","evm.TU.chromosome_13.1257","TP5",-0.4,0.8,"1"
"171","Cluster_1411_evm.TU.chromosome_13.1419","Cluster_1411","evm.TU.chromosome_13.1419","TP5",-0.2,0.8,"1"
"172","Cluster_1411_evm.TU.chromosome_13.1635","Cluster_1411","evm.TU.chromosome_13.1635","TP5",0.2,-0.948683298050514,"2"
"173","Cluster_1411_evm.TU.chromosome_13.1989","Cluster_1411","evm.TU.chromosome_13.1989","TP5",0.4,0.4,"3"
"174","Cluster_1411_evm.TU.chromosome_13.2149","Cluster_1411","evm.TU.chromosome_13.2149","TP5",0.316227766016838,-0.8,"2"
"175","Cluster_1411_evm.TU.chromosome_13.2426","Cluster_1411","evm.TU.chromosome_13.2426","TP5",0.774596669241483,-0.948683298050514,"2"
"176","Cluster_1411_evm.TU.chromosome_13.2693","Cluster_1411","evm.TU.chromosome_13.2693","TP5",0.4,0.2,"3"
"177","Cluster_1411_evm.TU.chromosome_13.3063","Cluster_1411","evm.TU.chromosome_13.3063","TP5",0.8,0,"2"
"178","Cluster_1411_evm.TU.chromosome_13.314","Cluster_1411","evm.TU.chromosome_13.314","TP5",0.210818510677892,-0.4,"3"
"179","Cluster_1411_evm.TU.chromosome_13.3142","Cluster_1411","evm.TU.chromosome_13.3142","TP5",0.4,0,"2"
"180","Cluster_1411_evm.TU.chromosome_13.3198","Cluster_1411","evm.TU.chromosome_13.3198","TP5",-0.2,-0.4,"3"
"181","Cluster_1411_evm.TU.chromosome_13.3342","Cluster_1411","evm.TU.chromosome_13.3342","TP5",-0.2,-1,"3"
"182","Cluster_1411_evm.TU.chromosome_13.3834","Cluster_1411","evm.TU.chromosome_13.3834","TP5",-0.774596669241483,0.8,"1"
"183","Cluster_1411_evm.TU.chromosome_13.827","Cluster_1411","evm.TU.chromosome_13.827","TP5",-0.316227766016838,1,"1"
"184","Cluster_1411_evm.TU.chromosome_13.910","Cluster_1411","evm.TU.chromosome_13.910","TP5",-0.774596669241483,-0.6,"1"
"185","Cluster_1411_evm.TU.chromosome_14.129","Cluster_1411","evm.TU.chromosome_14.129","TP5",-0.4,0,"1"
"186","Cluster_1411_evm.TU.chromosome_14.1305","Cluster_1411","evm.TU.chromosome_14.1305","TP5",-0.4,0.4,"1"
"187","Cluster_1411_evm.TU.chromosome_14.1550","Cluster_1411","evm.TU.chromosome_14.1550","TP5",-0.6,-0.210818510677892,"1"
"188","Cluster_1411_evm.TU.chromosome_14.5550","Cluster_1411","evm.TU.chromosome_14.5550","TP5",0.774596669241483,0.4,"2"
"189","Cluster_1411_evm.TU.chromosome_14.7068","Cluster_1411","evm.TU.chromosome_14.7068","TP5",-0.2,-0.8,"3"
"190","Cluster_1411_evm.TU.chromosome_14.7275","Cluster_1411","evm.TU.chromosome_14.7275","TP5",0.4,-0.2,"2"
"191","Cluster_1411_evm.TU.chromosome_2.1049","Cluster_1411","evm.TU.chromosome_2.1049","TP5",0.316227766016838,-0.774596669241483,"2"
"192","Cluster_1411_evm.TU.chromosome_2.1273","Cluster_1411","evm.TU.chromosome_2.1273","TP5",-0.6,0.4,"1"
"193","Cluster_1411_evm.TU.chromosome_2.1571","Cluster_1411","evm.TU.chromosome_2.1571","TP5",0.4,-1,"2"
"194","Cluster_1411_evm.TU.chromosome_2.2089","Cluster_1411","evm.TU.chromosome_2.2089","TP5",0.4,-1,"2"
"195","Cluster_1411_evm.TU.chromosome_2.338","Cluster_1411","evm.TU.chromosome_2.338","TP5",0.2,-0.2,"3"
"196","Cluster_1411_evm.TU.chromosome_2.423","Cluster_1411","evm.TU.chromosome_2.423","TP5",-0.4,0.4,"1"
"197","Cluster_1411_evm.TU.chromosome_2.428","Cluster_1411","evm.TU.chromosome_2.428","TP5",0,-0.4,"3"
"198","Cluster_1411_evm.TU.chromosome_3.1163","Cluster_1411","evm.TU.chromosome_3.1163","TP5",0.4,-0.4,"2"
"199","Cluster_1411_evm.TU.chromosome_3.1909","Cluster_1411","evm.TU.chromosome_3.1909","TP5",-0.8,-0.2,"1"
"200","Cluster_1411_evm.TU.chromosome_3.509","Cluster_1411","evm.TU.chromosome_3.509","TP5",-0.8,-0.6,"1"
"201","Cluster_1411_evm.TU.chromosome_3.510","Cluster_1411","evm.TU.chromosome_3.510","TP5",0.4,-0.2,"2"
"202","Cluster_1411_evm.TU.chromosome_4.1134","Cluster_1411","evm.TU.chromosome_4.1134","TP5",-0.2,0.4,"1"
"203","Cluster_1411_evm.TU.chromosome_4.1432","Cluster_1411","evm.TU.chromosome_4.1432","TP5",0,0.2,"3"
"204","Cluster_1411_evm.TU.chromosome_4.1911","Cluster_1411","evm.TU.chromosome_4.1911","TP5",0.4,-0.8,"2"
"205","Cluster_1411_evm.TU.chromosome_4.603","Cluster_1411","evm.TU.chromosome_4.603","TP5",0.737864787372622,-1,"2"
