"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_12:27136419-27146834",32.3467336829009,2.29472841694568,0.647307767076163,3.54503457808144,0.000392561584678192,0.0141855672029249,35,494,27,0,96,38,54,9,30,40,54,88,18,22,12,16,34,1,2
"::chromosome_7:1341449-1342732",378.11907877341,-3.56170258484002,0.642218791474815,-5.54593330516038,2.92390271701733e-08,1.18384833871963e-05,856,96,209,33,32,625,105,216,1735,803,174,141,218,310,143,1071,2533,206,35
"::chromosome_11:2244191-2254545",105.348801918871,-1.57173322028463,0.47683931532576,-3.29614855522322,0.000980201689726665,0.0253812399745357,160,173,36,5,37,189,151,30,420,96,178,220,368,565,45,67,309,16,12
"::chromosome_13:41821601-41832059",469.391387069459,1.03681255809507,0.258925889081831,4.00428308568012,6.22058390041416e-05,0.00375115024684749,859,1658,685,46,500,866,1405,170,814,1069,591,1350,489,512,110,633,595,125,99
"::chromosome_13:26173174-26186033",20.6155152649223,-2.63835165844456,0.785265370256073,-3.35982173463756,0.000779927798854988,0.0220896879755192,12,26,17,1,2,26,32,30,10,18,6,20,82,118,1,9,176,1,1
"::chromosome_12:17115855-17121389",38.7497035794309,-2.17133032027574,0.454697145329661,-4.77533308176259,1.79410051571402e-06,0.000264147939565664,92,57,53,6,10,106,26,7,85,53,27,25,173,123,16,61,74,11,6
"::chromosome_3:8127682-8133488",24.6271463485767,2.14420417360193,0.687227466389677,3.12007927283004,0.00180802375425286,0.0391948235557628,34,163,21,11,48,46,45,1,29,35,31,71,23,10,4,20,17,4,1
"::chromosome_6:7098633-7114451",532.465180488714,-1.09788824322045,0.260635650068831,-4.21234870567593,2.52728988534751e-05,0.00201899862365318,1194,773,518,94,243,930,521,371,860,1189,637,779,1486,925,209,977,1082,179,65
"::chromosome_1:20965480-20979739",77.2185109238626,1.76741502845189,0.469098497431835,3.76768426700985,0.000164768911901364,0.00762430692343586,107,446,18,9,219,117,269,40,101,84,66,249,162,93,13,96,37,17,6
"::chromosome_10:3794045-3795460",137.17555266146,-2.30276548504225,0.759244505863853,-3.03296957338165,0.00242160015139062,0.0473035161151578,478,165,37,17,19,34,39,87,97,1166,39,14,299,183,54,93,172,103,39
