,kallisto.trimmed.AST-1065_R1_001.fastq.gz,kallisto.trimmed.AST-1105_R1_001.fastq.gz,kallisto.trimmed.AST-1147_R1_001.fastq.gz,kallisto.trimmed.AST-1412_R1_001.fastq.gz,kallisto.trimmed.AST-1560_R1_001.fastq.gz,kallisto.trimmed.AST-1567_R1_001.fastq.gz,kallisto.trimmed.AST-1617_R1_001.fastq.gz,kallisto.trimmed.AST-1722_R1_001.fastq.gz,kallisto.trimmed.AST-2000_R1_001.fastq.gz,kallisto.trimmed.AST-2007_R1_001.fastq.gz,kallisto.trimmed.AST-2302_R1_001.fastq.gz,kallisto.trimmed.AST-2360_R1_001.fastq.gz,kallisto.trimmed.AST-2398_R1_001.fastq.gz,kallisto.trimmed.AST-2404_R1_001.fastq.gz,kallisto.trimmed.AST-2412_R1_001.fastq.gz,kallisto.trimmed.AST-2512_R1_001.fastq.gz,kallisto.trimmed.AST-2523_R1_001.fastq.gz,kallisto.trimmed.AST-2563_R1_001.fastq.gz,kallisto.trimmed.AST-2729_R1_001.fastq.gz,kallisto.trimmed.AST-2755_R1_001.fastq.gz
::chromosome_11:32732207-32733975,18.3723,0,8.86161,2.01057,1,0,12.4263,1.07648,0,10.5103,16.9631,3,9.08905,4.22534,1,0,13.9602,12.5024,1,2
::chromosome_14:16807165-16831045,64.0403,0,54.5623,9.87755,0,10.4698,38.2073,34.3526,5.10793,19.4924,21.6202,21.7336,68.9423,160.661,18.267,10.6453,14.7415,41.4551,4.05774,8.33661
::chromosome_11:4159902-4160392,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:13653269-13653673,1,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2
::chromosome_8:22206590-22207457,69,0,169,26,0,19,52,21,11,31,26,9,56,50,186,9,59,60,2,2
::chromosome_13:41796902-41800740,213.353,0,706.073,148.664,20.7501,161.607,300.581,609.849,72.644,306.153,408.112,242.237,844.65,162.376,184.532,38,191.464,208.133,28.7966,22.1092
::chromosome_11:6987970-6992914,0,0,115.706,1.01173,1,25,10.3304,55.4946,1.00263,6.10674,4.02063,8.07158,88.8623,52.6726,3.08156,0,93.0281,38.3811,0,1
::chromosome_7:23318810-23329655,87.1354,0,66.5842,28.0574,55.1945,18.3619,33.0629,25.4211,31.9956,33.7595,34.2092,54.4387,15.3193,24.4954,15.274,262.105,45.3745,32.8953,42.2684,1.23189
::chromosome_14:26365274-26366669,2,0,0,1,0,2,5,2,6,0,0,0,0,1,2,0,0,0,0,0
::chromosome_14:21021270-21025085,4,0,16,1,0,12,2,3,3,6,5,6,7,0,1,5,0,7,4,0
::chromosome_1:17225000-17225519,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
::chromosome_13:35688568-35693962,587.746,0,402.433,304.85,3,158.615,282.952,375.535,55.5909,603.048,424.323,321.556,476.676,230.008,555.318,86.9359,472.602,398.223,38.4772,51
::chromosome_4:1323404-1329293,128.104,0,214.586,33.1096,0,29,106.449,142.505,15.0483,64.1966,75.0373,73.059,77.0582,76.3811,76.0504,6.4114,56.0556,35.18,12,3
::chromosome_9:6801856-6804336,339,0,254.38,155,3,99,311.651,283.644,16,279.382,396.764,196.577,199,246.868,318.14,54,277.448,203.097,46,37
::chromosome_14:37360592-37361309,16,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0
::chromosome_2:7798736-7799075,46.2068,0,33.4626,6.46297,0,4.46828,0,0,137.875,2.19938,0,48.8635,3.27443,8.78626,9.70793,4.54351,0,11.7545,3.72761,0
::chromosome_14:29696757-29702059,0,0,2.05105,4.00384,0,1.03699,1.00597,2.02952,0,1.00682,0,4,4.01847,2.15127,0,3,1.02655,1.00051,0,0
::chromosome_10:13477693-13481574,22.51,0,67.6139,2.13552,0,20.4623,25.6762,26.8219,0,28.2764,29.0347,45.6195,4.16032,14.3329,4.31088,2.02147,45.4787,5.32372,0,6.48025
::chromosome_14:17122866-17126419,316.666,0,275.399,10.3436,22,23.1669,91.9569,29.0513,17,289.9,229.305,53.9641,44,98,139.973,27,173.618,147.636,20,23.6003
::chromosome_10:21482307-21485268,0,0,40.9186,89.628,0,4.93277,2.31295,2.84657,0,3.57756,0,9.63062,7.4678,1.31432,1.69442,18.5493,3.95142,0,0,0
::chromosome_3:15285822-15290684,2.07504,0,11.0143,4,0,1,8,2,4,0,5,2,2,1,0,0,4,8.31655,1,0
::chromosome_5:9713641-9714571,7.52885,0,1.35288,4.76638,0,0,0,0,5.06321,7.09726,2.53132,0,0,0,8.28431,0,7.80245,0,0,0
::chromosome_6:2382901-2389938,277.071,0,135.749,31.7463,4,29.9878,143.898,134.743,23,244.398,112.249,63.1386,127.476,269.317,195.87,11.2507,93.0974,90.568,10.7396,18
