"","id","read_count_1065","read_count_1147","read_count_1412","read_count_1560","read_count_1567","read_count_1617","read_count_1722","read_count_2000","read_count_2007","read_count_2302","read_count_2360","read_count_2398","read_count_2404","read_count_2412","read_count_2512","read_count_2523","read_count_2563","read_count_2729"
"1649","chromosome_8_290301",9,19,2,0,1,1,7,4,0,4,0,3,11,0,1,2,0,0
"1650","chromosome_8_290638",1,5,0,0,1,4,5,11,0,0,0,0,0,0,0,0,0,0
"1651","chromosome_8_291216",1,0,0,706,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1652","chromosome_8_291253",0,18,0,0,30,0,0,0,1,0,0,5,1,0,0,0,0,0
"1653","chromosome_8_291261",17,8,23,6,1,4,5,13,728,13,36,3,5,6,10,8,10,1
"1654","chromosome_8_291463",1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1655","chromosome_8_291524",1,4,12,0,1,0,28,2,39,7,0,4,12,0,2,9,1,0
"1656","chromosome_8_291711",3,9,4,0,2,14,4,0,2,6,0,1,21,1,0,0,4,0
"1657","chromosome_8_291712",3,9,4,0,2,14,4,0,2,6,0,1,21,1,0,0,4,0
"1658","chromosome_8_291810",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1659","chromosome_8_291916",0,7,0,0,0,2,10,0,0,1,0,0,2,0,0,0,0,0
"1660","chromosome_8_292567",1,10,1,0,1,2,4,0,3,3,0,1,0,0,0,2,0,0
"1661","chromosome_8_292718",11,0,2,2,10,0,0,3,0,1,1,0,6,2,7,11,1,0
"1662","chromosome_8_293796",0,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"1663","chromosome_8_293813",0,3,15,3,15,0,2,1,3,8,1,33,0,21,0,0,2,0
"1664","chromosome_8_294122",3,22,2,0,1,3,5,4,0,5,0,3,8,1,0,1,0,0
"1665","chromosome_8_294136",1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"1666","chromosome_8_295199",0,47,2,0,5,2,3,5,1,2,0,4,6,0,0,2,0,0
"1667","chromosome_8_295457",3,188,13,0,18,26,6,7,0,1,0,3,41,2,0,0,22,0
"1668","chromosome_8_295534",2,32,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1669","chromosome_8_295930",11,1101,13,2,21,12,151,40,12,34,1,16,42,3,5,6,27,3
"1670","chromosome_8_296626",10,49,6,0,14,6,21,7,19,3,1,9,11,1,1,10,0,0
