Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258936,19/12/20 12:29:24,1.380,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.933,µmol/L,10.209,°C,1029.000,hPa,Humid,35,0
9258947,19/12/20 12:29:25,1.397,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.030,µmol/L,10.206,°C,1029.000,hPa,Humid,35,0
9258951,19/12/20 12:29:26,1.413,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.297,µmol/L,10.200,°C,1029.000,hPa,Humid,35,0
9258959,19/12/20 12:29:27,1.430,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.137,µmol/L,10.191,°C,1029.000,hPa,Humid,35,0
9258967,19/12/20 12:29:28,1.447,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.945,µmol/L,10.218,°C,1029.000,hPa,Humid,35,0
9258976,19/12/20 12:29:29,1.464,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.819,µmol/L,10.214,°C,1029.000,hPa,Humid,35,0
9258982,19/12/20 12:29:30,1.480,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.166,µmol/L,10.206,°C,1029.000,hPa,Humid,35,0
9258992,19/12/20 12:29:31,1.497,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.317,µmol/L,10.208,°C,1029.000,hPa,Humid,35,0
9259000,19/12/20 12:29:32,1.514,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.224,µmol/L,10.218,°C,1029.000,hPa,Humid,35,0
9259008,19/12/20 12:29:33,1.530,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.216,µmol/L,10.209,°C,1029.000,hPa,Humid,35,0
9259019,19/12/20 12:29:34,1.547,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.688,µmol/L,10.202,°C,1029.000,hPa,Humid,35,0
9259025,19/12/20 12:29:35,1.563,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.266,µmol/L,10.198,°C,1029.000,hPa,Humid,35,0
9259033,19/12/20 12:29:36,1.580,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.269,µmol/L,10.203,°C,1029.000,hPa,Humid,35,0
9259040,19/12/20 12:29:37,1.597,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.029,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9259049,19/12/20 12:29:38,1.614,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.116,µmol/L,10.212,°C,1029.000,hPa,Humid,35,0
9259057,19/12/20 12:29:39,1.630,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.020,µmol/L,10.210,°C,1029.000,hPa,Humid,35,0
9259066,19/12/20 12:29:40,1.647,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.115,µmol/L,10.212,°C,1029.000,hPa,Humid,35,0
9259074,19/12/20 12:29:41,1.664,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.090,µmol/L,10.202,°C,1029.000,hPa,Humid,35,0
9259081,19/12/20 12:29:42,1.680,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.032,µmol/L,10.206,°C,1029.000,hPa,Humid,35,0
9259090,19/12/20 12:29:43,1.697,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.492,µmol/L,10.202,°C,1029.000,hPa,Humid,35,0
9259099,19/12/20 12:29:44,1.713,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.554,µmol/L,10.204,°C,1029.000,hPa,Humid,35,0
9259105,19/12/20 12:29:45,1.730,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.192,µmol/L,10.196,°C,1029.000,hPa,Humid,35,0
9259114,19/12/20 12:29:46,1.747,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.744,µmol/L,10.201,°C,1029.000,hPa,Humid,35,0
9259118,19/12/20 12:29:47,1.763,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.281,µmol/L,10.212,°C,1029.000,hPa,Humid,35,0
9259129,19/12/20 12:29:48,1.780,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.094,µmol/L,10.212,°C,1029.000,hPa,Humid,35,0
9259137,19/12/20 12:29:49,1.797,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.001,µmol/L,10.222,°C,1029.000,hPa,Humid,35,0
9259145,19/12/20 12:29:50,1.814,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.925,µmol/L,10.213,°C,1029.000,hPa,Humid,35,0
9259154,19/12/20 12:29:51,1.830,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.960,µmol/L,10.219,°C,1029.000,hPa,Humid,35,0
9259160,19/12/20 12:29:52,1.846,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.013,µmol/L,10.208,°C,1029.000,hPa,Humid,35,0
9259171,19/12/20 12:29:53,1.863,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.171,µmol/L,10.203,°C,1029.000,hPa,Humid,35,0
9259179,19/12/20 12:29:54,1.880,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.858,µmol/L,10.207,°C,1029.000,hPa,Humid,35,0
9259187,19/12/20 12:29:55,1.897,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.385,µmol/L,10.190,°C,1029.000,hPa,Humid,35,0
9259196,19/12/20 12:29:56,1.914,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.153,µmol/L,10.200,°C,1029.000,hPa,Humid,35,0
9259202,19/12/20 12:29:57,1.930,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.922,µmol/L,10.205,°C,1029.000,hPa,Humid,35,0
9259211,19/12/20 12:29:58,1.947,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.807,µmol/L,10.215,°C,1029.000,hPa,Humid,35,0
9259219,19/12/20 12:29:59,1.964,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.966,µmol/L,10.216,°C,1029.000,hPa,Humid,35,0
9259228,19/12/20 12:30:00,1.981,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.496,µmol/L,10.205,°C,1029.000,hPa,Humid,35,0
9259233,19/12/20 12:30:01,1.997,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.321,µmol/L,10.208,°C,1029.000,hPa,Humid,35,0
9259242,19/12/20 12:30:02,2.013,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.061,µmol/L,10.213,°C,1029.000,hPa,Humid,35,0
