YYYY	MM	DD	hh	WD	WSP	D GST	WVHT	DPD	APD	MWD	BAR	ATMP	WTMP	DEWP	VIS	TIDE
2004	11	13	2	40	6.2	9.7	99	99	99	999	1028.3	2.7	9.7	999	99	99
2004	11	13	3	40	5.2	8.6	99	99	99	999	1028.1	2.6	9.9	999	99	99
2004	11	13	4	42	5.9	10.1	99	99	99	999	1027.4	2.8	10.3	999	99	99
2004	11	13	5	37	6.2	10.1	99	99	99	999	1026.9	2.6	10.6	999	99	99
2004	11	13	6	37	6.1	9.2	99	99	99	999	1026.5	2.3	10.3	999	99	99
2004	11	13	7	37	7.1	11.1	99	99	99	999	1026.9	2	10.7	999	99	99
2004	11	13	9	35	8.8	12.1	99	99	99	999	1026.7	0.9	10.6	999	99	99
2004	11	13	10	30	7.6	11.5	99	99	99	999	1027.4	0.1	10.5	999	99	99
2004	11	13	11	30	7.6	12.9	99	99	99	999	1027.1	0	10.4	999	99	99
2004	11	13	12	29	7.1	12	99	99	99	999	1027.4	-0.1	10.5	999	99	99
2004	11	13	13	36	8.3	13	99	99	99	999	1027.4	-0.2	10.3	999	99	99
2004	11	13	14	25	7	12.2	99	99	99	999	1027.2	-0.1	9.1	999	99	99
2004	11	13	15	18	7.2	13.1	99	99	99	999	1027.9	-0.1	9	999	99	99
2004	11	13	16	28	9.4	13.3	99	99	99	999	1027.6	0.1	10.7	999	99	99
2004	11	13	17	31	7.4	12.2	99	99	99	999	1027.2	1.1	10	999	99	99
2004	11	13	18	22	6.2	9.6	99	99	99	999	1027.1	2.3	9.9	999	99	99
2004	11	13	19	32	6	10.5	99	99	99	999	1027.3	3.4	10.1	999	99	99
2004	11	13	20	32	6.5	10.6	99	99	99	999	1028.2	4.1	10.1	999	99	99
2004	11	13	21	32	8.6	11.2	99	99	99	999	1028.7	4.5	10.1	999	99	99
2004	11	13	22	30	6.6	10.2	99	99	99	999	1029.5	4.3	10	999	99	99
2004	11	13	23	28	7.6	9.6	99	99	99	999	1030.2	4	10	999	99	99
2004	11	14	0	24	4.4	7.2	99	99	99	999	1031	3.8	10	999	99	99
2004	11	14	1	23	8.8	13.2	99	99	99	999	1031.7	2.8	9.2	999	99	99
2004	11	14	2	16	6.5	12.6	99	99	99	999	1032.1	2.1	8.8	999	99	99
2004	11	14	3	20	7.4	9.9	99	99	99	999	1032.4	1.5	9.2	999	99	99
